
B-V,Vmag,class
0.676,8.42,main_sequence
1.014,9.62,main_sequence
0.965,9.25,main_sequence
0.584,7.74,main_sequence
0.826,8.8,main_sequence
1.207,11.48,main_sequence
0.607,6.18,main_sequence
1.161,4.34,giant
0.737,8.48,main_sequence
0.589,7.07,main_sequence
0.539,7.06,main_sequence
1.021,10.1,main_sequence
0.952,7.35,main_sequence
1.03,10.39,main_sequence
0.448,6.11,main_sequence
1.338,10.24,main_sequence
0.851,9.19,main_sequence
1.01,9.95,main_sequence
1.38,10.89,main_sequence
0.646,7.17,main_sequence
0.639,7.98,main_sequence
0.525,7.4,main_sequence
0.565,7.12,main_sequence
1.237,11.97,main_sequence
0.805,9.18,main_sequence
0.79,8.22,main_sequence
0.916,9.58,main_sequence
0.61,8.13,main_sequence
0.63,7.44,main_sequence
0.66,8.26,main_sequence
0.735,7.05,main_sequence
0.428,6.69,main_sequence
0.207,5.47,main_sequence
0.509,7.22,main_sequence
0.982,9.72,main_sequence
0.757,9.17,main_sequence
0.779,8.73,main_sequence
0.54,7.29,main_sequence
0.516,7.02,main_sequence
0.0,9.43,main_sequence
0.632,7.54,main_sequence
0.698,8.19,main_sequence
0.426,6.12,main_sequence
0.675,8.0,main_sequence
0.661,7.82,main_sequence
1.094,10.97,main_sequence
0.583,7.42,main_sequence
0.598,7.18,main_sequence
0.01,4.66,main_sequence
1.083,3.94,giant
0.8,8.91,main_sequence
0.976,9.09,main_sequence
0.685,3.38,main_sequence
0.424,6.71,main_sequence
0.726,10.56,main_sequence
1.36,10.99,main_sequence
1.588,11.24,main_sequence
0.536,7.27,main_sequence
0.503,7.15,main_sequence
0.483,7.42,main_sequence
0.696,8.62,main_sequence
1.11,10.34,main_sequence
0.93,10.49,main_sequence
1.297,10.69,main_sequence
0.766,8.46,main_sequence
0.9,8.32,main_sequence
0.824,9.44,main_sequence
0.665,6.73,main_sequence
0.978,3.11,main_sequence
0.908,8.94,main_sequence
0.711,8.16,main_sequence
0.556,7.48,main_sequence
0.511,7.32,main_sequence
0.306,5.43,main_sequence
0.149,5.22,main_sequence
0.756,8.67,main_sequence
0.209,5.68,main_sequence
0.476,7.1,main_sequence
0.843,9.06,main_sequence
0.896,9.35,main_sequence
0.756,7.84,main_sequence
0.537,7.8,main_sequence
0.882,9.71,main_sequence
0.833,8.63,main_sequence
0.651,7.93,main_sequence
1.048,10.66,main_sequence
0.935,9.26,main_sequence
1.214,11.01,main_sequence
0.488,8.0,main_sequence
0.613,7.36,main_sequence
0.727,8.46,main_sequence
0.624,7.96,main_sequence
0.69,8.51,main_sequence
0.446,6.61,main_sequence
0.813,8.67,main_sequence
0.626,8.15,main_sequence
0.58,8.25,main_sequence
0.58,8.28,main_sequence
0.573,6.77,main_sequence
0.655,8.15,main_sequence
0.61,7.15,main_sequence
1.585,10.8,main_sequence
1.101,10.4,main_sequence
1.035,9.55,main_sequence
0.693,8.05,main_sequence
0.658,8.36,main_sequence
1.122,10.22,main_sequence
0.626,7.95,main_sequence
0.468,6.3,main_sequence
0.38,6.12,main_sequence
0.847,9.0,main_sequence
0.507,6.67,main_sequence
0.675,8.81,main_sequence
0.724,8.29,main_sequence
0.594,7.69,main_sequence
0.858,9.94,main_sequence
0.957,9.64,main_sequence
0.507,6.98,main_sequence
0.973,9.45,main_sequence
0.519,6.9,main_sequence
0.605,7.2,main_sequence
0.54,7.01,main_sequence
0.394,6.5,main_sequence
1.334,11.52,main_sequence
1.1,11.7,main_sequence
0.905,8.66,main_sequence
1.08,10.06,main_sequence
0.511,7.27,main_sequence
0.707,8.43,main_sequence
1.672,11.41,main_sequence
0.67,8.4,main_sequence
0.79,9.08,main_sequence
0.53,5.77,main_sequence
0.71,8.85,main_sequence
0.975,7.52,main_sequence
0.685,8.82,main_sequence
0.816,9.17,main_sequence
0.811,8.23,main_sequence
0.747,8.91,main_sequence
0.664,7.74,main_sequence
0.491,6.69,main_sequence
1.07,10.01,main_sequence
0.544,7.12,main_sequence
0.504,6.9,main_sequence
0.477,6.96,main_sequence
0.779,9.03,main_sequence
0.516,3.52,main_sequence
0.73,6.91,main_sequence
0.877,8.92,main_sequence
0.828,7.16,main_sequence
0.621,7.16,main_sequence
0.645,8.41,main_sequence
0.111,5.64,main_sequence
0.62,7.85,main_sequence
1.057,10.36,main_sequence
1.364,11.43,main_sequence
0.517,8.04,main_sequence
0.558,7.93,main_sequence
0.598,7.72,main_sequence
0.483,6.8,main_sequence
0.735,8.86,main_sequence
0.925,9.82,main_sequence
0.61,7.58,main_sequence
0.479,6.24,main_sequence
1.1,10.04,main_sequence
0.577,6.42,main_sequence
0.841,9.46,main_sequence
0.546,7.34,main_sequence
0.229,5.29,main_sequence
0.569,7.8,main_sequence
1.222,3.88,giant
0.583,7.71,main_sequence
0.551,6.87,main_sequence
0.612,8.12,main_sequence
0.647,7.93,main_sequence
0.476,6.7,main_sequence
0.56,7.6,main_sequence
0.699,8.4,main_sequence
0.582,7.78,main_sequence
0.58,7.38,main_sequence
1.071,9.86,main_sequence
0.812,8.85,main_sequence
0.84,8.82,main_sequence
1.176,10.38,main_sequence
0.533,6.75,main_sequence
0.507,5.71,main_sequence
0.847,8.72,main_sequence
1.331,10.17,main_sequence
0.664,8.15,main_sequence
0.76,8.6,main_sequence
0.705,8.83,main_sequence
0.708,7.49,main_sequence
0.558,7.45,main_sequence
0.59,8.07,main_sequence
0.76,8.42,main_sequence
1.233,10.86,main_sequence
0.494,6.45,main_sequence
0.88,9.08,main_sequence
0.798,8.18,main_sequence
0.848,11.05,main_sequence
0.892,9.9,main_sequence
0.257,5.27,main_sequence
0.496,7.21,main_sequence
1.127,11.64,main_sequence
0.683,8.84,main_sequence
0.78,8.97,main_sequence
0.652,8.72,main_sequence
0.029,3.45,main_sequence
0.632,7.62,main_sequence
0.787,8.8,main_sequence
0.569,7.82,main_sequence
0.717,8.03,main_sequence
1.022,6.0,main_sequence
0.847,9.23,main_sequence
1.153,10.26,main_sequence
0.615,7.59,main_sequence
0.996,9.79,main_sequence
0.545,7.5,main_sequence
0.955,9.44,main_sequence
0.954,9.88,main_sequence
0.251,5.34,main_sequence
1.892,10.99,main_sequence
0.632,8.39,main_sequence
1.2,10.69,main_sequence
0.908,4.2,main_sequence
0.652,7.83,main_sequence
0.244,5.52,main_sequence
0.954,9.78,main_sequence
0.501,6.04,main_sequence
0.63,8.44,main_sequence
0.475,6.29,main_sequence
0.436,6.29,main_sequence
0.79,8.71,main_sequence
1.278,10.55,main_sequence
1.235,10.73,main_sequence
0.802,9.41,main_sequence
1.346,11.73,main_sequence
0.595,5.84,main_sequence
0.711,8.62,main_sequence
0.936,9.68,main_sequence
0.679,8.38,main_sequence
0.963,9.73,main_sequence
0.16,5.51,main_sequence
0.641,7.03,main_sequence
1.365,11.0,main_sequence
1.079,10.77,main_sequence
0.637,7.97,main_sequence
0.67,8.05,main_sequence
0.595,7.49,main_sequence
1.389,11.95,main_sequence
0.62,7.92,main_sequence
0.536,7.88,main_sequence
1.232,3.11,giant
1.184,10.49,main_sequence
0.844,9.25,main_sequence
1.148,10.8,main_sequence
0.923,9.72,main_sequence
0.488,7.85,main_sequence
0.7,8.08,main_sequence
0.914,10.22,main_sequence
0.513,6.56,main_sequence
0.898,10.2,main_sequence
1.048,9.79,main_sequence
0.579,7.76,main_sequence
1.075,10.05,main_sequence
0.56,7.18,main_sequence
0.645,7.02,main_sequence
0.79,8.18,main_sequence
1.01,5.91,giant
0.466,6.73,main_sequence
0.724,8.42,main_sequence
1.088,10.07,main_sequence
0.425,5.91,main_sequence
0.441,7.28,main_sequence
0.635,7.89,main_sequence
0.808,9.72,main_sequence
0.624,7.94,main_sequence
0.707,8.16,main_sequence
1.255,11.4,main_sequence
1.119,11.13,main_sequence
0.632,8.26,main_sequence
0.374,5.7,main_sequence
0.648,8.21,main_sequence
0.443,6.53,main_sequence
1.217,10.64,main_sequence
0.584,6.03,main_sequence
0.166,4.98,main_sequence
0.868,9.73,main_sequence
1.24,11.67,main_sequence
0.694,8.17,main_sequence
0.89,8.45,main_sequence
1.1,10.02,main_sequence
0.809,8.87,main_sequence
0.369,4.92,main_sequence
0.689,8.7,main_sequence
0.524,7.04,main_sequence
0.725,8.95,main_sequence
1.162,10.56,main_sequence
0.542,7.8,main_sequence
0.9,12.17,main_sequence
0.93,9.95,main_sequence
1.144,3.0,giant
1.563,11.51,main_sequence
1.07,9.83,main_sequence
1.18,10.88,main_sequence
0.7,7.15,main_sequence
0.646,8.26,main_sequence
0.553,7.19,main_sequence
0.637,8.15,main_sequence
0.175,5.37,main_sequence
0.613,8.11,main_sequence
0.843,9.54,main_sequence
0.601,7.9,main_sequence
0.705,8.27,main_sequence
0.668,8.18,main_sequence
0.408,6.44,main_sequence
0.508,6.84,main_sequence
0.828,8.73,main_sequence
0.507,7.12,main_sequence
0.658,8.0,main_sequence
0.523,6.69,main_sequence
0.635,8.12,main_sequence
1.15,8.89,main_sequence
0.439,5.08,main_sequence
0.753,9.14,main_sequence
0.792,8.51,main_sequence
0.785,8.8,main_sequence
0.541,6.94,main_sequence
0.665,8.08,main_sequence
0.805,8.67,main_sequence
0.581,7.86,main_sequence
0.39,5.58,main_sequence
0.599,7.93,main_sequence
1.13,10.6,main_sequence
0.912,6.67,main_sequence
0.476,7.17,main_sequence
1.21,9.8,main_sequence
1.444,12.05,main_sequence
0.513,7.26,main_sequence
0.723,8.83,main_sequence
0.726,8.17,main_sequence
0.549,7.29,main_sequence
0.71,7.16,main_sequence
0.804,8.86,main_sequence
0.362,5.64,main_sequence
0.771,8.89,main_sequence
0.348,5.56,main_sequence
1.36,11.59,main_sequence
0.911,9.66,main_sequence
0.606,8.07,main_sequence
0.765,8.5,main_sequence
0.651,6.44,main_sequence
0.44,5.73,main_sequence
0.865,9.22,main_sequence
0.498,7.08,main_sequence
0.794,9.02,main_sequence
1.131,9.42,main_sequence
0.91,8.91,main_sequence
0.721,7.47,main_sequence
0.68,7.99,main_sequence
0.592,8.51,main_sequence
1.294,11.4,main_sequence
0.585,6.24,main_sequence
0.828,9.12,main_sequence
0.776,9.19,main_sequence
0.41,6.34,main_sequence
0.977,8.97,main_sequence
0.86,9.4,main_sequence
1.316,11.24,main_sequence
1.225,10.92,main_sequence
0.724,8.44,main_sequence
1.18,10.5,main_sequence
0.528,6.46,main_sequence
0.406,6.38,main_sequence
0.693,8.4,main_sequence
0.705,8.59,main_sequence
0.945,9.5,main_sequence
0.65,7.94,main_sequence
0.486,6.73,main_sequence
0.513,6.6,main_sequence
0.614,8.16,main_sequence
0.802,9.05,main_sequence
1.023,10.34,main_sequence
0.331,6.42,main_sequence
1.34,11.03,main_sequence
1.17,10.78,main_sequence
0.753,8.23,main_sequence
1.097,10.9,main_sequence
0.708,8.53,main_sequence
1.098,10.05,main_sequence
0.5,6.51,main_sequence
0.716,8.74,main_sequence
1.224,10.85,main_sequence
0.596,7.92,main_sequence
1.3,11.12,main_sequence
1.034,10.83,main_sequence
0.773,9.35,main_sequence
0.775,8.44,main_sequence
0.958,9.63,main_sequence
1.049,9.73,main_sequence
0.515,7.33,main_sequence
0.567,8.45,main_sequence
1.29,11.04,main_sequence
1.44,11.39,main_sequence
0.352,5.72,main_sequence
1.1,10.06,main_sequence
0.754,9.05,main_sequence
0.773,8.07,main_sequence
0.626,8.2,main_sequence
0.884,9.32,main_sequence
0.467,6.59,main_sequence
0.786,8.74,main_sequence
0.993,9.96,main_sequence
0.846,9.16,main_sequence
1.431,10.93,main_sequence
0.262,5.85,main_sequence
0.81,8.71,main_sequence
0.346,6.27,main_sequence
0.902,9.5,main_sequence
0.624,8.64,main_sequence
0.835,9.11,main_sequence
0.957,9.39,main_sequence
0.955,9.37,main_sequence
0.574,6.81,main_sequence
0.841,8.76,main_sequence
0.685,8.41,main_sequence
0.986,9.41,main_sequence
0.606,7.95,main_sequence
0.523,6.38,main_sequence
1.091,5.52,giant
1.594,11.62,main_sequence
0.88,7.31,main_sequence
0.622,8.23,main_sequence
1.04,9.97,main_sequence
0.744,7.97,main_sequence
0.94,9.54,main_sequence
1.415,12.0,main_sequence
1.07,10.02,main_sequence
1.527,10.84,main_sequence
0.84,9.42,main_sequence
0.557,7.75,main_sequence
1.577,10.7,main_sequence
0.578,7.97,main_sequence
0.569,7.38,main_sequence
0.965,6.29,main_sequence
1.13,10.05,main_sequence
0.97,10.07,main_sequence
0.924,9.65,main_sequence
1.2,10.56,main_sequence
0.467,7.43,main_sequence
0.71,8.31,main_sequence
0.68,8.12,main_sequence
0.67,6.82,main_sequence
0.92,6.15,main_sequence
1.029,11.36,main_sequence
0.536,6.21,main_sequence
1.57,11.0,main_sequence
0.697,7.91,main_sequence
0.534,7.33,main_sequence
0.841,9.17,main_sequence
1.0,10.12,main_sequence
1.002,10.05,main_sequence
1.19,10.71,main_sequence
0.571,7.5,main_sequence
0.861,5.58,main_sequence
0.563,8.36,main_sequence
0.893,2.65,main_sequence
0.84,8.75,main_sequence
0.731,6.22,main_sequence
0.666,7.89,main_sequence
0.76,9.18,main_sequence
0.97,10.38,main_sequence
0.484,6.95,main_sequence
0.049,3.85,main_sequence
0.894,8.52,main_sequence
0.865,8.99,main_sequence
0.893,8.9,main_sequence
0.982,10.98,main_sequence
1.053,9.05,main_sequence
0.61,7.88,main_sequence
0.816,8.94,main_sequence
0.882,9.34,main_sequence
1.071,9.28,main_sequence
0.675,7.83,main_sequence
0.819,9.47,main_sequence
0.839,8.78,main_sequence
1.278,10.62,main_sequence
0.662,8.01,main_sequence
0.445,7.13,main_sequence
0.654,8.05,main_sequence
0.989,5.65,main_sequence
0.54,6.83,main_sequence
1.567,11.38,main_sequence
0.432,6.99,main_sequence
0.84,9.11,main_sequence
0.841,9.44,main_sequence
1.326,10.51,main_sequence
0.616,8.48,main_sequence
0.224,4.25,main_sequence
0.805,6.42,main_sequence
0.658,8.53,main_sequence
0.52,7.69,main_sequence
0.915,9.88,main_sequence
1.186,10.41,main_sequence
0.665,7.8,main_sequence
1.06,10.05,main_sequence
0.738,8.67,main_sequence
1.104,9.41,main_sequence
0.779,8.7,main_sequence
0.386,6.01,main_sequence
0.466,6.2,main_sequence
1.577,11.36,main_sequence
0.569,7.56,main_sequence
0.678,8.33,main_sequence
0.692,8.37,main_sequence
0.393,6.0,main_sequence
0.469,7.31,main_sequence
0.746,8.75,main_sequence
0.634,8.5,main_sequence
1.035,8.76,main_sequence
0.606,8.56,main_sequence
1.099,9.82,main_sequence
0.415,5.92,main_sequence
0.525,7.3,main_sequence
0.748,9.76,main_sequence
0.735,8.28,main_sequence
0.817,8.18,main_sequence
0.705,8.06,main_sequence
0.865,9.31,main_sequence
0.616,8.39,main_sequence
0.64,8.29,main_sequence
0.717,8.24,main_sequence
0.74,8.06,main_sequence
0.872,9.68,main_sequence
0.907,9.43,main_sequence
0.92,2.99,main_sequence
0.742,7.43,main_sequence
0.667,8.54,main_sequence
0.645,8.37,main_sequence
0.424,6.51,main_sequence
0.576,7.86,main_sequence
0.7,7.24,main_sequence
0.777,9.31,main_sequence
0.721,8.26,main_sequence
0.936,9.64,main_sequence
1.577,11.21,main_sequence
0.651,7.44,main_sequence
0.594,7.64,main_sequence
1.03,9.7,main_sequence
0.902,9.61,main_sequence
1.07,9.95,main_sequence
0.721,8.87,main_sequence
0.585,8.07,main_sequence
0.889,9.17,main_sequence
0.438,6.45,main_sequence
1.03,9.64,main_sequence
0.649,8.45,main_sequence
0.404,4.91,main_sequence
1.165,10.19,main_sequence
1.29,9.8,main_sequence
0.705,8.81,main_sequence
0.466,6.91,main_sequence
1.059,9.48,main_sequence
1.039,10.85,main_sequence
0.483,7.11,main_sequence
0.531,7.05,main_sequence
0.854,10.64,main_sequence
0.958,9.33,main_sequence
0.698,7.77,main_sequence
0.652,8.19,main_sequence
0.431,5.81,main_sequence
1.1,10.47,main_sequence
0.564,7.73,main_sequence
0.646,8.46,main_sequence
0.921,9.14,main_sequence
0.78,9.15,main_sequence
1.31,11.45,main_sequence
0.87,9.12,main_sequence
0.876,9.21,main_sequence
1.4,10.84,main_sequence
0.552,7.96,main_sequence
0.657,8.3,main_sequence
1.112,9.86,main_sequence
1.22,10.51,main_sequence
0.491,6.51,main_sequence
0.784,8.66,main_sequence
0.612,8.21,main_sequence
1.002,10.27,main_sequence
0.434,6.73,main_sequence
0.709,7.92,main_sequence
0.657,10.3,main_sequence
0.594,8.15,main_sequence
1.02,10.11,main_sequence
1.02,9.79,main_sequence
1.37,11.0,main_sequence
1.03,9.57,main_sequence
0.729,9.01,main_sequence
1.305,11.16,main_sequence
1.091,10.34,main_sequence
0.77,8.45,main_sequence
0.541,7.68,main_sequence
0.612,7.65,main_sequence
0.593,7.54,main_sequence
0.88,9.98,main_sequence
1.447,10.75,main_sequence
0.493,7.39,main_sequence
0.995,10.49,main_sequence
0.473,6.73,main_sequence
0.926,9.51,main_sequence
0.876,10.69,main_sequence
1.3,11.43,main_sequence
0.741,8.63,main_sequence
0.673,8.52,main_sequence
0.484,6.95,main_sequence
0.635,7.58,main_sequence
0.59,8.21,main_sequence
0.612,8.08,main_sequence
0.307,9.97,main_sequence
1.177,10.29,main_sequence
1.023,10.06,main_sequence
0.66,6.45,main_sequence
1.447,11.17,main_sequence
1.147,11.07,main_sequence
0.875,9.25,main_sequence
0.776,9.68,main_sequence
0.69,8.29,main_sequence
0.897,9.63,main_sequence
0.65,8.55,main_sequence
1.25,11.23,main_sequence
0.479,6.42,main_sequence
1.16,10.46,main_sequence
0.233,4.53,main_sequence
0.958,9.15,main_sequence
0.561,8.09,main_sequence
0.593,6.36,main_sequence
1.071,6.23,main_sequence
0.57,7.03,main_sequence
0.58,6.68,main_sequence
0.615,7.78,main_sequence
0.376,6.38,main_sequence
1.3,11.07,main_sequence
0.782,8.65,main_sequence
0.59,7.29,main_sequence
0.243,4.89,main_sequence
0.92,8.93,main_sequence
0.793,8.31,main_sequence
1.08,10.36,main_sequence
0.281,5.22,main_sequence
0.975,10.1,main_sequence
0.873,9.51,main_sequence
0.437,7.33,main_sequence
0.31,4.78,main_sequence
0.877,8.9,main_sequence
0.59,8.13,main_sequence
0.609,7.4,main_sequence
0.647,8.22,main_sequence
1.188,10.34,main_sequence
0.584,6.82,main_sequence
0.124,5.1,main_sequence
1.03,9.6,main_sequence
0.757,8.36,main_sequence
0.526,7.11,main_sequence
0.581,7.27,main_sequence
0.84,8.86,main_sequence
0.487,7.31,main_sequence
0.425,6.65,main_sequence
1.238,10.93,main_sequence
0.693,4.81,main_sequence
0.549,7.02,main_sequence
0.644,8.57,main_sequence
0.71,7.97,main_sequence
0.637,8.21,main_sequence
1.298,3.57,giant
1.21,10.65,main_sequence
1.055,9.74,main_sequence
0.45,6.32,main_sequence
1.095,10.78,main_sequence
0.95,8.73,main_sequence
0.729,8.97,main_sequence
0.707,8.26,main_sequence
0.642,7.81,main_sequence
0.454,6.21,main_sequence
0.409,6.24,main_sequence
0.533,7.47,main_sequence
0.659,8.22,main_sequence
0.636,7.52,main_sequence
0.431,6.64,main_sequence
0.495,7.22,main_sequence
0.308,5.36,main_sequence
0.603,6.43,main_sequence
0.624,7.26,main_sequence
0.71,8.3,main_sequence
0.901,9.71,main_sequence
0.509,7.46,main_sequence
0.389,6.15,main_sequence
1.552,10.64,main_sequence
0.866,8.42,main_sequence
0.482,5.76,main_sequence
0.648,8.52,main_sequence
0.671,5.63,main_sequence
0.507,7.46,main_sequence
0.666,8.47,main_sequence
0.452,7.16,main_sequence
1.3,8.39,main_sequence
1.592,10.85,main_sequence
1.447,10.27,main_sequence
0.605,6.3,main_sequence
0.699,8.15,main_sequence
0.569,6.41,main_sequence
0.58,6.98,main_sequence
0.506,7.15,main_sequence
0.716,9.51,main_sequence
1.035,9.41,main_sequence
0.747,8.2,main_sequence
1.32,11.08,main_sequence
0.554,7.66,main_sequence
0.79,8.8,main_sequence
1.08,10.1,main_sequence
0.89,9.84,main_sequence
0.594,7.88,main_sequence
0.574,7.33,main_sequence
1.171,10.0,main_sequence
0.613,7.77,main_sequence
1.106,9.99,main_sequence
0.622,7.66,main_sequence
1.209,9.98,main_sequence
0.911,9.71,main_sequence
0.503,7.49,main_sequence
1.12,9.99,main_sequence
0.596,7.56,main_sequence
0.677,8.4,main_sequence
0.73,7.75,main_sequence
0.602,7.84,main_sequence
0.662,8.84,main_sequence
0.799,8.87,main_sequence
1.249,11.15,main_sequence
0.752,8.78,main_sequence
1.344,11.64,main_sequence
1.005,9.62,main_sequence
0.772,9.28,main_sequence
0.181,5.62,main_sequence
0.5,7.66,main_sequence
0.433,6.86,main_sequence
-0.071,2.61,main_sequence
0.578,7.84,main_sequence
1.21,10.2,main_sequence
0.497,7.11,main_sequence
0.83,9.03,main_sequence
0.545,7.53,main_sequence
0.51,6.9,main_sequence
0.668,8.58,main_sequence
1.3,11.18,main_sequence
0.8,9.24,main_sequence
0.532,6.9,main_sequence
0.44,6.77,main_sequence
1.313,10.91,main_sequence
0.95,8.99,main_sequence
0.792,9.87,main_sequence
0.656,7.91,main_sequence
0.489,5.65,main_sequence
0.685,8.73,main_sequence
0.9,10.12,main_sequence
0.909,9.88,main_sequence
1.07,9.86,main_sequence
0.723,8.98,main_sequence
0.618,6.26,main_sequence
0.774,9.06,main_sequence
0.821,6.79,main_sequence
0.49,6.91,main_sequence
1.4,10.81,main_sequence
0.546,8.97,main_sequence
1.456,10.4,main_sequence
0.793,6.98,main_sequence
0.708,8.02,main_sequence
0.829,8.63,main_sequence
1.007,3.91,giant
0.354,5.93,main_sequence
0.886,5.25,main_sequence
0.58,7.72,main_sequence
0.531,7.07,main_sequence
0.854,9.09,main_sequence
0.976,9.74,main_sequence
1.075,10.18,main_sequence
0.729,8.99,main_sequence
0.686,8.63,main_sequence
0.903,9.52,main_sequence
0.879,9.69,main_sequence
1.238,10.15,main_sequence
1.092,10.03,main_sequence
0.02,3.81,main_sequence
1.11,9.9,main_sequence
0.238,5.41,main_sequence
0.655,8.2,main_sequence
0.624,7.36,main_sequence
0.612,8.06,main_sequence
0.814,9.24,main_sequence
1.041,9.37,main_sequence
0.834,9.15,main_sequence
0.073,3.65,main_sequence
1.594,10.31,main_sequence
0.659,8.08,main_sequence
0.816,9.01,main_sequence
0.512,6.94,main_sequence
1.42,11.17,main_sequence
0.12,5.53,main_sequence
-0.036,3.54,main_sequence
0.407,6.82,main_sequence
0.299,6.11,main_sequence
0.757,8.19,main_sequence
1.184,10.71,main_sequence
0.135,5.09,main_sequence
0.67,7.85,main_sequence
0.627,8.08,main_sequence
0.544,6.76,main_sequence
1.003,4.13,giant
0.621,7.55,main_sequence
0.667,8.53,main_sequence
0.402,6.68,main_sequence
0.352,5.43,main_sequence
0.89,9.54,main_sequence
1.204,10.52,main_sequence
0.381,6.31,main_sequence
1.9,11.19,main_sequence
0.86,9.04,main_sequence
0.637,8.96,main_sequence
0.289,6.04,main_sequence
1.547,10.53,main_sequence
0.643,8.05,main_sequence
0.639,8.01,main_sequence
0.683,8.73,main_sequence
0.7,8.26,main_sequence
0.252,4.63,main_sequence
1.25,10.36,main_sequence
0.658,8.21,main_sequence
0.974,9.11,main_sequence
0.91,8.64,main_sequence
0.818,7.84,main_sequence
0.803,8.31,main_sequence
0.677,8.55,main_sequence
1.428,11.57,main_sequence
1.237,10.44,main_sequence
0.447,6.43,main_sequence
0.688,8.12,main_sequence
0.555,7.59,main_sequence
1.158,10.5,main_sequence
0.612,8.2,main_sequence
1.333,11.4,main_sequence
0.722,7.83,main_sequence
0.603,7.8,main_sequence
0.522,7.8,main_sequence
0.521,7.07,main_sequence
0.756,9.0,main_sequence
0.326,6.18,main_sequence
0.008,4.8,main_sequence
0.836,9.03,main_sequence
0.616,7.68,main_sequence
0.642,7.09,main_sequence
0.466,5.53,main_sequence
0.564,7.52,main_sequence
0.666,7.72,main_sequence
1.015,10.22,main_sequence
0.708,8.62,main_sequence
1.177,11.37,main_sequence
1.16,9.11,main_sequence
0.941,9.45,main_sequence
0.763,8.3,main_sequence
0.724,8.44,main_sequence
1.009,10.4,main_sequence
0.905,9.25,main_sequence
0.575,6.93,main_sequence
0.983,11.06,main_sequence
0.3,7.33,main_sequence
0.249,5.55,main_sequence
1.15,10.81,main_sequence
0.383,5.28,main_sequence
0.77,8.81,main_sequence
0.41,6.49,main_sequence
0.639,8.34,main_sequence
0.947,2.78,main_sequence
0.545,7.27,main_sequence
1.165,10.74,main_sequence
0.76,8.52,main_sequence
0.543,7.02,main_sequence
0.868,8.82,main_sequence
0.573,7.37,main_sequence
0.923,3.86,main_sequence
0.736,9.6,main_sequence
0.706,8.02,main_sequence
0.95,10.59,main_sequence
0.576,7.68,main_sequence
0.817,9.24,main_sequence
0.835,8.31,main_sequence
0.88,9.45,main_sequence
0.585,8.21,main_sequence
0.492,6.33,main_sequence
0.714,8.61,main_sequence
0.321,6.3,main_sequence
0.591,7.67,main_sequence
0.313,6.25,main_sequence
0.884,9.42,main_sequence
0.402,5.92,main_sequence
0.436,5.55,main_sequence
0.717,8.95,main_sequence
1.06,4.23,giant
0.573,7.19,main_sequence
0.73,8.62,main_sequence
0.674,6.72,main_sequence
1.04,10.31,main_sequence
0.89,6.55,main_sequence
0.987,7.32,main_sequence
1.14,9.95,main_sequence
1.23,10.59,main_sequence
0.666,8.41,main_sequence
0.566,7.43,main_sequence
1.22,10.23,main_sequence
0.627,7.95,main_sequence
2.248,12.04,main_sequence
0.529,6.81,main_sequence
0.631,6.81,main_sequence
0.591,7.82,main_sequence
1.393,3.62,giant
0.676,7.07,main_sequence
1.567,10.76,main_sequence
0.954,9.4,main_sequence
0.952,6.33,main_sequence
0.493,7.09,main_sequence
0.613,8.01,main_sequence
0.391,6.48,main_sequence
0.978,9.3,main_sequence
0.47,7.18,main_sequence
0.652,7.98,main_sequence
0.942,9.73,main_sequence
0.594,7.38,main_sequence
-0.018,3.92,main_sequence
0.798,9.41,main_sequence
0.52,7.48,main_sequence
0.567,8.18,main_sequence
1.552,10.57,main_sequence
0.427,6.57,main_sequence
0.306,6.17,main_sequence
0.849,9.45,main_sequence
0.125,4.89,main_sequence
0.759,9.02,main_sequence
0.793,8.65,main_sequence
0.593,7.38,main_sequence
0.75,8.53,main_sequence
0.617,7.68,main_sequence
1.597,11.02,main_sequence
0.545,7.28,main_sequence
0.465,5.43,main_sequence
0.992,10.45,main_sequence
0.569,6.77,main_sequence
0.491,7.57,main_sequence
0.216,5.54,main_sequence
1.011,10.75,main_sequence
0.945,9.92,main_sequence
0.786,7.22,main_sequence
0.676,8.05,main_sequence
1.176,10.92,main_sequence
0.94,9.44,main_sequence
0.647,6.59,main_sequence
1.145,11.24,main_sequence
0.427,6.36,main_sequence
0.578,6.5,main_sequence
0.326,6.46,main_sequence
0.769,8.61,main_sequence
0.504,6.81,main_sequence
0.687,8.03,main_sequence
0.229,5.7,main_sequence
0.667,7.82,main_sequence
0.642,8.37,main_sequence
1.184,11.15,main_sequence
0.81,8.85,main_sequence
0.482,7.04,main_sequence
0.67,8.03,main_sequence
0.517,6.2,main_sequence
0.708,8.42,main_sequence
0.675,8.52,main_sequence
0.581,7.66,main_sequence
0.756,8.14,main_sequence
1.066,9.95,main_sequence
0.239,5.78,main_sequence
0.956,10.21,main_sequence
1.8,11.3,main_sequence
0.187,5.61,main_sequence
0.667,7.09,main_sequence
0.577,8.37,main_sequence
1.972,11.14,main_sequence
1.075,4.26,giant
0.596,6.33,main_sequence
0.764,8.5,main_sequence
0.195,5.25,main_sequence
0.682,8.43,main_sequence
1.07,10.32,main_sequence
0.986,9.75,main_sequence
1.065,9.67,main_sequence
2.8,11.0,main_sequence
0.633,7.29,main_sequence
0.824,10.02,main_sequence
0.384,6.36,main_sequence
0.472,6.51,main_sequence
